text,label,source,is_synthetic
Yeah do! Donât stand to close tho- youâll catch something!,0,uci_public,False
Goodnight da thangam I really miss u dear.,0,uci_public,False
ከ Telebirr: 500.00 ETB ለ Tigist Alemu (0911***958) ተልኳል። Transaction ID: TX58719106. አጠቃላይ ቀሪ ሒሳብዎ 2450.50 ETB ነው።,0,local_synthetic,True
Are you comingdown later?,0,uci_public,False
"Dear Customer, ETB 1,500.00 credited to account 1000****706 from Marta Tadesse. Ref No: FT87511641. CBE",0,local_synthetic,True
How much did ur hdd casing cost.,0,uci_public,False
Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!,0,kaggle_public,False
"Ya ok, then had dinner?",0,uci_public,False
Ok lor thanx... Ã in school?,0,uci_public,False
Don know..wait i will check it.,0,uci_public,False
Thanx 4 sending me home...,0,uci_public,False
"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem",0,uci_public,False
Where wuld I be without my baby? The thought alone mite break me and I donÂt wanna go crazy but everyboy needs his lady xxxxxxxx,0,uci_public,False
Come to my home for one last time i wont do anything. Trust me.,0,uci_public,False
Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,0,uci_public,False
Thts god's gift for birds as humans hav some natural gift frm god..,0,uci_public,False
I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,0,uci_public,False
Apps class varaya elaya.,0,uci_public,False
"What will we do in the shower, baby?",0,uci_public,False
"K give me a sec, breaking a  &lt;#&gt;  at cstore",0,uci_public,False
I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,0,uci_public,False
"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around",0,uci_public,False
"Aight, let me know when you're gonna be around usf",0,uci_public,False
Mathews or tait or edwards or anderson,0,uci_public,False
"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.",0,uci_public,False
We have to pick rayan macleran there.,0,uci_public,False
"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..",0,uci_public,False
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",0,uci_public,False
ከ Ethio Telecom: 1000 ETB እና 5GB ነፃ የኢንተርኔት ስጦታ አሸንፈዋል! አሁኑኑ ለመቀበል: http://cbe-online-fix.info/verify,1,local_synthetic,True
Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),0,uci_public,False
"K, wait chikku..il send aftr  &lt;#&gt; mins",0,uci_public,False
ከ Telebirr: 500.00 ETB ለ Marta Tadesse (0911***666) ተልኳል። Transaction ID: TX96106084. አጠቃላይ ቀሪ ሒሳብዎ 2450.50 ETB ነው።,0,local_synthetic,True
Yeah I can still give you a ride,0,uci_public,False
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,0,kaggle_public,False
Shb b ok lor... Thanx...,0,uci_public,False
Infact happy new year. How are you where are you when are we seeing,0,uci_public,False
"Are you being good, baby? :)",0,uci_public,False
hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,0,uci_public,False
"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite",0,uci_public,False
"Dear Customer, ETB 1,500.00 credited to account 1000****931 from Sifen G.. Ref No: FT13947189. CBE",0,local_synthetic,True
Why did I wake up on my own &gt;:(,0,uci_public,False
You didnt complete your gist oh.,0,uci_public,False
U still painting ur wall?,0,uci_public,False
Did u fix the teeth?if not do it asap.ok take care.,0,uci_public,False
Pls help me tell Ashley that i cant find her number oh,0,uci_public,False
Lol yes. But it will add some spice to your day.,0,uci_public,False
ከ Telebirr: 500.00 ETB ለ Marta Tadesse (0911***626) ተልኳል። Transaction ID: TX46507333. አጠቃላይ ቀሪ ሒሳብዎ 2450.50 ETB ነው።,0,local_synthetic,True
"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",0,uci_public,False
Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,1,uci_public,False
