text,label,source
ከ 127: ውድ ደንበኛችን የ 100 ETB የአየር ሰዓት ሞልተዋል። ቀሪ ሂሳብዎ 120.50 ETB ነው።,0,local_synthetic
Urgent Telebirr Alert: Your wallet is suspended due to unverified KYC. Click here to update immediately: http://192.168.1.105/cbe-sec,1,local_synthetic
ከ 127: ውድ ደንበኛችን የ 100 ETB የአየር ሰዓት ሞልተዋል። ቀሪ ሂሳብዎ 120.50 ETB ነው።,0,local_synthetic
ከ 127: ውድ ደንበኛችን የ 100 ETB የአየር ሰዓት ሞልተዋል። ቀሪ ሂሳብዎ 120.50 ETB ነው።,0,local_synthetic
"Dear customer, your request for bill payment of 450 ETB has been completed. Thank you.",0,local_synthetic
"Dear CBE Customer, suspicious login detected on your account. Restore access now: http://telebirr-reward-2026.cfd/auth",1,local_synthetic
ከ Telebirr: 500.00 ETB ለ Marta Tadesse (0911***606) ተልኳል። Transaction ID: TX38403803. አጠቃላይ ቀሪ ሒሳብዎ 2450.50 ETB ነው።,0,local_synthetic
Telebirr: You have successfully bought 2GB 7-Days Data Package. Transaction ID: TX31788089. Thank you for using Ethio Telecom.,0,local_synthetic
Urgent Telebirr Alert: Your wallet is suspended due to unverified KYC. Click here to update immediately: http://192.168.1.105/cbe-sec,1,local_synthetic
"Dear customer, your request for bill payment of 450 ETB has been completed. Thank you.",0,local_synthetic
ከ 127: ውድ ደንበኛችን የ 100 ETB የአየር ሰዓት ሞልተዋል። ቀሪ ሂሳብዎ 120.50 ETB ነው።,0,local_synthetic
ከ Telebirr: 500.00 ETB ለ Marta Tadesse (0911***928) ተልኳል። Transaction ID: TX76896143. አጠቃላይ ቀሪ ሒሳብዎ 2450.50 ETB ነው።,0,local_synthetic
"Dear customer, your request for bill payment of 450 ETB has been completed. Thank you.",0,local_synthetic
"Congratulations! You were selected for a 50,000 ETB Ethio Telecom promo reward. Enter phone number to claim: http://bit.ly/ethio-bonus-claim",1,local_synthetic
Urgent Telebirr Alert: Your wallet is suspended due to unverified KYC. Click here to update immediately: http://ethiotel-bonus-5g.sbs/claim,1,local_synthetic
ከ Ethio Telecom: 1000 ETB እና 5GB ነፃ የኢንተርኔት ስጦታ አሸንፈዋል! አሁኑኑ ለመቀበል: http://cbe-online-fix.info/verify,1,local_synthetic
ከ Telebirr: 500.00 ETB ለ Tigist Alemu (0911***324) ተልኳል። Transaction ID: TX63768876. አጠቃላይ ቀሪ ሒሳብዎ 2450.50 ETB ነው።,0,local_synthetic
Urgent Telebirr Alert: Your wallet is suspended due to unverified KYC. Click here to update immediately: http://cbe-birr-unblock.top/account,1,local_synthetic
"Congratulations! You were selected for a 50,000 ETB Ethio Telecom promo reward. Enter phone number to claim: http://cbe-online-fix.info/verify",1,local_synthetic
Urgent Telebirr Alert: Your wallet is suspended due to unverified KYC. Click here to update immediately: http://telebirr-reward-2026.cfd/auth,1,local_synthetic
"Congratulations! You were selected for a 50,000 ETB Ethio Telecom promo reward. Enter phone number to claim: http://cbe-birr-unblock.top/account",1,local_synthetic
CBE Urgent Alert: Your mobile banking account 1000****415 has been locked. Verify identity at: http://ethiotel-bonus-5g.sbs/claim,1,local_synthetic
"Dear Customer, ETB 200.00 debited from account 1000****991 for ATM Withdrawal. Ref No: FT13314738. CBE",0,local_synthetic
"Dear customer, your request for bill payment of 450 ETB has been completed. Thank you.",0,local_synthetic
ማስጠንቀቂያ: የ Telebirr መለያዎ ታግዷል። እባክዎን በዚህ ሊንክ በመግባት መለያዎን ያረጋግጡ: http://cbe-online-fix.info/verify,1,local_synthetic
ከ Ethio Telecom: 1000 ETB እና 5GB ነፃ የኢንተርኔት ስጦታ አሸንፈዋል! አሁኑኑ ለመቀበል: http://cbe-birr-unblock.top/account,1,local_synthetic
"Dear CBE Customer, suspicious login detected on your account. Restore access now: http://ethiotel-bonus-5g.sbs/claim",1,local_synthetic
ማስጠንቀቂያ: የ Telebirr መለያዎ ታግዷል። እባክዎን በዚህ ሊንክ በመግባት መለያዎን ያረጋግጡ: http://ethiotel-bonus-5g.sbs/claim,1,local_synthetic
"Congratulations! You were selected for a 50,000 ETB Ethio Telecom promo reward. Enter phone number to claim: http://cbe-birr-unblock.top/account",1,local_synthetic
"Dear Customer, ETB 200.00 debited from account 1000****872 for ATM Withdrawal. Ref No: FT17029150. CBE",0,local_synthetic
"Dear Customer, ETB 200.00 debited from account 1000****554 for ATM Withdrawal. Ref No: FT85331240. CBE",0,local_synthetic
Urgent Telebirr Alert: Your wallet is suspended due to unverified KYC. Click here to update immediately: http://telebirr-verify-kyc.xyz/login.php,1,local_synthetic
ከ 127: ውድ ደንበኛችን የ 100 ETB የአየር ሰዓት ሞልተዋል። ቀሪ ሂሳብዎ 120.50 ETB ነው።,0,local_synthetic
ማስጠንቀቂያ: የ Telebirr መለያዎ ታግዷል። እባክዎን በዚህ ሊንክ በመግባት መለያዎን ያረጋግጡ: http://cbe-birr-unblock.top/account,1,local_synthetic
"Dear Customer, ETB 1,500.00 credited to account 1000****130 from Dawit Solomon. Ref No: FT19275203. CBE",0,local_synthetic
ከ Ethio Telecom: 1000 ETB እና 5GB ነፃ የኢንተርኔት ስጦታ አሸንፈዋል! አሁኑኑ ለመቀበል: http://telebirr-verify-kyc.xyz/login.php,1,local_synthetic
Your Ethio Telecom package will expire in 2 days. Dial *999# to renew your active monthly internet bundle.,0,local_synthetic
ከ 127: ውድ ደንበኛችን የ 100 ETB የአየር ሰዓት ሞልተዋል። ቀሪ ሂሳብዎ 120.50 ETB ነው።,0,local_synthetic
Your Ethio Telecom package will expire in 2 days. Dial *999# to renew your active monthly internet bundle.,0,local_synthetic
